Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,BUILD_MATRIX_CONFIG,FATAL ERROR UNIT_OUT_OF_PROCESS [ACTIVE] UNIT OUT OF PROCESS [ACTIVE],MoveDUTToFixture_AfterPriming,tc=Ether_Scan tech=ARROW:subtc=EIRP_Corrected Omnia=0:freq=7.850000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP_Corrected Omnia=0:freq=7.900000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP_Corrected Omnia=0:freq=7.950000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP_Corrected Omnia=0:freq=8.000000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP_Corrected Omnia=0:freq=8.050000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP_Corrected Omnia=0:freq=8.100000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=EIRP_Corrected Omnia=0:freq=8.150000GHz:ant=ant_0
Display Name ----->,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,,,
LXKS,B589,CMXYXF17HM,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,,MA5-REL,,,-1.137192,-1.445709,-1.589661,-1.417572,-1.705109,-0.96434,-1.750641
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,FAIL,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,MoveDUTToFixture_AfterPriming,MA6-DEBUG,,,,,,,,,
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:39,2025/7/3 9:41,20ADkP180.C99DM133,,MA6-DEBUG,,,-1.341736,-0.009811,-0.897568,-1.420197,-1.391891,-2.032196,-1.771713
LXKS,B589,D03VD6K95V,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_1_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-2.410172,-1.469406,-1.8806,-2.513153,-2.994049,-3.359177,-3.102219
LXKS,B589,D1203D46N7,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:25,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-1.505783,-0.830719,-1.429474,-1.865921,-2.230637,-2.684616,-2.847687
LXKS,B589,D24KXFYQDW,B589-PROTO,B589-PROTO_MA5-RF,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:25,2025/7/3 9:27,20ADkP180.C99DM133,,MA5-RF,,,-1.719406,-1.891495,-0.931305,-0.973877,-2.024292,-1.715897,-2.871033
LXKS,B589,DR43LJHJ4V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:03,2025/7/3 10:08,20ADkP180.C99DM133,,ACOUSTICD2,,,-0.783035,-0.122467,-1.034653,-1.606857,-2.210587,-2.462112,-2.516357
LXKS,B589,DVJXWFV0CX,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:33,20ADkP180.C99DM133,,ACOUSTICD3,,,-1.106384,-0.556458,-0.937225,-1.346802,-1.83313,-1.945572,-2.100098
LXKS,B589,DYJMVQ7QDT,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:29,2025/7/3 9:31,20ADkP180.C99DM133,,MA5-REL,,,-1.272934,-0.316254,-0.99118,-1.374023,-1.072083,-1.775589,-1.610153
LXKS,B589,F0XHL036WJ,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:18,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD1,,,-0.65242,0.125732,-0.431793,-0.7061,-1.568985,-1.780838,-2.228104
LXKS,B589,FK9YY09YLV,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,-0.916489,-0.298584,-0.52739,-0.927261,-1.840134,-1.681519,-2.223419
LXKS,B589,FQK9Q2W277,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:22,2025/7/3 10:24,20ADkP180.C99DM133,,ACOUSTICD1,,,-2.651245,-1.564728,-2.435669,-2.539093,-3.277527,-3.207169,-2.978424
LXKS,B589,FYKRFG90K4,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_1_A-OTA,PASS,2025/7/3 10:26,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-2.284622,-1.325058,-2.066299,-2.156967,-2.348785,-2.503738,-2.531006
LXKS,B589,G4YJMT7KHM,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:26,20ADkP180.C99DM133,,ACOUSTICD3,,,-2.401581,-1.38829,-2.495911,-2.953552,-2.808258,-2.904556,-1.884689
LXKS,B589,G7X2X49G9F,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:20,2025/7/3 10:22,20ADkP180.C99DM133,,ACOUSTICD1,,,-1.746094,-0.54538,-1.180588,-1.357208,-1.789429,-1.772736,-1.845871
LXKS,B589,GGH34HVYD3,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:13,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,-1.772202,-1.047211,-1.382446,-1.518997,-2.360809,-2.315277,-2.777527
LXKS,B589,GHC9M3WH9V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD2,,,-0.704086,0.226212,-0.211273,-0.652924,-1.338089,-1.386978,-1.951843
LXKS,B589,GHVJXJMGF7,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-0.909836,-0.130508,-0.947052,-1.386627,-1.758911,-2.039581,-1.949982
LXKS,B589,GQ10FK2FD9,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:26,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-0.450424,-0.239914,-0.985931,-1.43512,-1.761292,-1.828201,-1.83197
LXKS,B589,GT94MX296T,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,-0.64476,-0.411209,-1.091476,-1.773209,-2.781937,-3.016449,-3.397598
LXKS,B589,GX9YYK4TFY,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:34,20ADkP180.C99DM133,,ACOUSTICD3,,,-1.844757,-0.938934,-2.066452,-2.486038,-2.171799,-2.768692,-1.909851
LXKS,B589,H4RD2YJR2Y,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:13,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,-0.786911,0.257629,-0.707733,-1.100128,-1.219742,-1.735138,-1.135529
LXKS,B589,H95R4R3C3P,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:27,20ADkP180.C99DM133,,ACOUSTICD3,,,-1.902435,-1.733414,-2.085388,-2.409027,-2.867538,-2.995285,-2.800369
LXKS,B589,HG1FHGVFQJ,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,-2.004837,-0.315369,-1.276932,-1.733444,-1.660889,-2.02829,-1.19986
LXKS,B589,HLF972PFX9,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:17,20ADkP180.C99DM133,,ACOUSTICD2,,,-1.0914,-0.498734,-0.896667,-1.159866,-1.86763,-1.930679,-2.34462
LXKS,B589,HMH9M540FG,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:18,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD1,,,-1.023804,-0.186081,-0.645142,-1.144882,-2.045364,-2.458771,-2.890167
LXKS,B589,HXKH2J4YCC,B589-PROTO,B589-PROTO_MA5-DEBUG,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:27,2025/7/3 9:30,20ADkP180.C99DM133,,MA5-DEBUG,,,-2.294434,-1.431931,-0.938049,-0.564697,-0.582535,-0.533096,-1.190674
LXKS,B589,HXKVKQNCP7,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:32,2025/7/3 9:34,20ADkP180.C99DM133,,MA5-REL,,,-1.808762,-2.046936,-1.804138,-1.466858,-1.672318,-1.157898,-1.839859
LXKS,B589,J12HQH7XMF,B589-PROTO,B589-PROTO_MA5-REL-G,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:47,2025/7/3 10:49,20ADkP180.C99DM133,,MA5-REL-G,,,-1.194504,-0.032196,-0.233368,-0.502228,-0.864166,-0.823105,-0.867035
LXKS,B589,J1C2VMG743,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,-1.205307,-0.839905,-1.350571,-2.009689,-2.574493,-2.573364,-2.829697
LXKS,B589,J3LQ20L02L,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:25,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-2.878555,-1.597427,-2.443619,-2.472458,-2.440674,-2.612656,-1.927124
LXKS,B589,J421463YN2,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:26,20ADkP180.C99DM133,,ACOUSTICD3,,,-2.059723,-1.278854,-1.105591,-1.126495,-1.305359,-1.569351,-1.59874
LXKS,B589,JGP42RJVNC,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:03,2025/7/3 10:08,20ADkP180.C99DM133,,ACOUSTICD2,,,-0.917282,0.485123,0.024658,-0.129608,-1.037872,-1.50177,-2.063126
LXKS,B589,JQ6G3X7MX4,B589-PROTO,B589-PROTO_MA4-DEBUG,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:29,2025/7/3 9:31,20ADkP180.C99DM133,,MA4-DEBUG,,,-0.102585,-0.06543,0.344147,-0.388519,-1.66362,-1.244934,-2.62265
LXKS,B589,JTQH3Q2M5G,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:33,2025/7/3 10:37,20ADkP180.C99DM133,,ACOUSTICD2,,,-1.77356,-0.930237,-1.377975,-1.878372,-2.432938,-2.281967,-2.186188
LXKS,B589,JYN3J6W6QH,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:27,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD3,,,-1.792877,-1.374268,-2.07048,-2.404999,-2.995987,-3.039047,-2.709213
LXKS,B589,KV9F42WLG2,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:17,20ADkP180.C99DM133,,ACOUSTICD2,,,-1.19104,-0.398529,-0.671875,-0.719788,-1.387161,-1.567444,-2.06456
LXKS,B589,KVK1WQ7H6G,B589-PROTO,B589-PROTO_MA5-DEBUG,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:38,2025/7/3 9:40,20ADkP180.C99DM133,,MA5-DEBUG,,,-2.186935,-2.14389,-1.537598,-1.315887,-1.860809,-1.417343,-2.483978
LXKS,B589,KY00QGT969,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:24,2025/7/3 9:27,20ADkP180.C99DM133,,MA5-REL,,,-2.701019,-1.756531,-1.401245,-0.799133,-0.691772,-0.670578,-1.096298
LXKS,B589,L23TFD7HP1,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:28,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD3,,,-2.197937,-0.862274,-1.394669,-1.777878,-1.705536,-2.470261,-1.809464
LXKS,B589,L2YWHQ7605,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:33,2025/7/3 10:37,20ADkP180.C99DM133,,ACOUSTICD2,,,-1.860779,-1.241531,-1.652573,-1.942535,-2.401016,-2.606964,-2.597626
LXKS,B589,LGDYHMXYQN,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-1.840591,-1.186203,-1.431854,-1.734528,-2.227936,-2.053375,-1.92926
LXKS,B589,LHV6J64PPX,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:20,2025/7/3 10:23,20ADkP180.C99DM133,,ACOUSTICD1,,,-1.070953,-0.475159,-0.768875,-1.431503,-2.378632,-2.794434,-2.627777
LXKS,B589,LNWWDN6Q71,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:36,2025/7/3 9:40,20ADkP180.C99DM133,,MA5-REL,,,-3.018372,-2.319504,-2.37619,-2.506653,-2.514786,-2.340836,-2.203064
LXKS,B589,LT00FK2F2R,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:17,20ADkP180.C99DM133,,ACOUSTICD2,,,-0.681442,0.297424,-0.076691,-0.335556,-0.903305,-1.2061,-1.555161
LXKS,B589,LXG666NJHW,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-1.112213,-0.437454,-0.574402,-0.973648,-1.809219,-2.137344,-2.473251
LXKS,B589,M4Q4K9N0QF,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:04,2025/7/3 10:09,20ADkP180.C99DM133,,ACOUSTICD2,,,-0.916641,-0.270798,-0.850235,-1.233612,-1.823593,-2.105499,-2.309555
LXKS,B589,MGMVY95Y7G,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:28,2025/7/3 10:31,20ADkP180.C99DM133,,ACOUSTICD3,,,-1.489731,-1.044281,-1.10527,-1.391846,-1.840347,-1.886002,-2.446091
LXKS,B589,N65C65W33X,B589-PROTO,B589-PROTO_MA6-RF,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:25,2025/7/3 9:27,20ADkP180.C99DM133,,MA6-RF,,,-0.334702,0.288345,-0.674805,-1.463135,-1.424805,-2.02034,-1.47052
LXKS,B589,NCMXR7KK2T,B589-PROTO,B589-PROTO_MA4-DEBUG,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:30,2025/7/3 9:33,20ADkP180.C99DM133,,MA4-DEBUG,,,-1.127502,-0.90477,-1.374405,-1.83252,-2.32933,-2.521393,-2.913437
LXKS,B589,NHGCF76H9C,B589-PROTO,B589-PROTO_MA4-RF,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:20,2025/7/3 9:23,20ADkP180.C99DM133,,MA4-RF,,,-0.572327,-0.107483,-0.373047,-0.773758,-1.152298,-1.128098,-1.372375
LXKS,B589,PK9JKW7GWH,B589-PROTO,B589-PROTO_MA4-RF,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:21,2025/7/3 9:23,20ADkP180.C99DM133,,MA4-RF,,,-1.868591,-2.070236,-1.642578,-1.679932,-2.388718,-1.81311,-2.638107
LXKS,B589,Q4TD4RDFDY,B589-PROTO,B589-PROTO_MA6-RF,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:31,2025/7/3 9:34,20ADkP180.C99DM133,,MA6-RF,,,-1.975906,-0.987946,-2.007477,-2.619095,-2.427856,-2.732849,-2.432617
LXKS,B589,W94PJX646X,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:22,2025/7/3 9:24,20ADkP180.C99DM133,,MA6-DEBUG,,,-1.439575,-0.400635,-1.200241,-1.471359,-1.43869,-1.830826,-1.409225
LXKS,B589,WJR77W6JCD,B589-PROTO,B589-PROTO_MA5-RF,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:33,2025/7/3 9:36,20ADkP180.C99DM133,,MA5-RF,,,-1.85144,-1.303162,-1.077133,-0.78746,-0.802216,-0.875671,-1.388351
