Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,BUILD_MATRIX_CONFIG,FATAL ERROR UNIT_OUT_OF_PROCESS [ACTIVE] UNIT OUT OF PROCESS [ACTIVE],MoveDUTToFixture_AfterPriming,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=7.850000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=7.900000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=7.950000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=8.000000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=8.050000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=8.100000GHz:ant=ant_0,tc=Ether_Scan tech=ARROW:subtc=PRAD_Corrected Omnia=0:freq=8.150000GHz:ant=ant_0
Display Name ----->,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,
Measurement Unit ----->,,,,,,,,,,,,,,,dBm,dBm,dBm,dBm,dBm,dBm,dBm
LXKS,B589,CMXYXF17HM,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,,MA5-REL,,,-10.074722,-10.143448,-9.827133,-10.212601,-10.97876,-10.562256,-11.196533
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,FAIL,2025/7/3 9:35,2025/7/3 9:37,20ADkP180.C99DM133,MoveDUTToFixture_AfterPriming,MA6-DEBUG,,,,,,,,,
LXKS,B589,CT602Q9JC4,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:39,2025/7/3 9:41,20ADkP180.C99DM133,,MA6-DEBUG,,,-10.805939,-9.970291,-11.104736,-11.733246,-11.984741,-12.41951,-11.883942
LXKS,B589,D03VD6K95V,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_1_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-11.35524,-10.509201,-10.938492,-11.652588,-12.362442,-12.518707,-12.675552
LXKS,B589,D1203D46N7,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:25,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-9.761566,-9.475601,-10.127838,-10.744156,-11.607361,-12.003418,-12.59639
LXKS,B589,D24KXFYQDW,B589-PROTO,B589-PROTO_MA5-RF,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:25,2025/7/3 9:27,20ADkP180.C99DM133,,MA5-RF,,,-10.338638,-10.396729,-10.021759,-10.677261,-11.797287,-11.599701,-12.587219
LXKS,B589,DR43LJHJ4V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:03,2025/7/3 10:08,20ADkP180.C99DM133,,ACOUSTICD2,,,-9.833664,-9.239029,-10.265152,-11.056396,-12.162079,-12.490112,-12.776306
LXKS,B589,DVJXWFV0CX,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:33,20ADkP180.C99DM133,,ACOUSTICD3,,,-10.202652,-9.764114,-10.430389,-11.236923,-12.248123,-12.271011,-12.399689
LXKS,B589,DYJMVQ7QDT,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:29,2025/7/3 9:31,20ADkP180.C99DM133,,MA5-REL,,,-10.177399,-9.287796,-10.347534,-10.965454,-11.329926,-11.907471,-11.664474
LXKS,B589,F0XHL036WJ,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:18,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD1,,,-9.857361,-9.13826,-10.062286,-10.713257,-11.77562,-12.068436,-12.410751
LXKS,B589,FK9YY09YLV,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,-9.995239,-9.889938,-10.108276,-10.847687,-11.583969,-11.62616,-11.991379
LXKS,B589,FQK9Q2W277,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:22,2025/7/3 10:24,20ADkP180.C99DM133,,ACOUSTICD1,,,-10.671875,-10.25351,-10.953201,-11.594101,-12.550842,-12.827881,-13.074219
LXKS,B589,FYKRFG90K4,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_1_A-OTA,PASS,2025/7/3 10:26,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-10.366837,-9.850006,-10.407867,-11.119186,-11.816269,-11.98201,-12.239761
LXKS,B589,G4YJMT7KHM,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:26,20ADkP180.C99DM133,,ACOUSTICD3,,,-11.05365,-10.418625,-11.631332,-12.347733,-12.322372,-12.707062,-12.061005
LXKS,B589,G7X2X49G9F,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:20,2025/7/3 10:22,20ADkP180.C99DM133,,ACOUSTICD1,,,-11.08551,-10.020844,-10.789581,-11.243149,-11.795593,-11.888596,-11.767776
LXKS,B589,GGH34HVYD3,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:13,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,-11.294235,-10.779236,-11.278488,-11.780991,-12.657074,-12.565384,-12.725845
LXKS,B589,GHC9M3WH9V,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD2,,,-10.853027,-10.137985,-10.746994,-11.221741,-11.860931,-11.886261,-11.970947
LXKS,B589,GHVJXJMGF7,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-10.5784,-9.905319,-10.666458,-11.045258,-11.506165,-11.84375,-11.577454
LXKS,B589,GQ10FK2FD9,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:26,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-9.541901,-9.169342,-9.62265,-10.129639,-11.185608,-11.487854,-11.890182
LXKS,B589,GT94MX296T,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,-10.016403,-9.891006,-10.501892,-11.507828,-12.593597,-12.732071,-12.967346
LXKS,B589,GX9YYK4TFY,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:31,2025/7/3 10:34,20ADkP180.C99DM133,,ACOUSTICD3,,,-10.838837,-10.162201,-11.400497,-12.157623,-12.217194,-12.762451,-12.288101
LXKS,B589,H4RD2YJR2Y,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:13,2025/7/3 10:16,20ADkP180.C99DM133,,ACOUSTICD2,,,-9.950607,-9.148651,-10.140503,-10.630508,-10.913528,-11.31485,-10.972534
LXKS,B589,H95R4R3C3P,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:27,20ADkP180.C99DM133,,ACOUSTICD3,,,-10.28093,-10.352478,-11.086029,-11.940964,-12.619736,-12.713608,-12.732605
LXKS,B589,HG1FHGVFQJ,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,-11.344406,-10.001999,-10.925919,-11.499298,-11.586746,-11.996048,-11.600159
LXKS,B589,HLF972PFX9,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:17,20ADkP180.C99DM133,,ACOUSTICD2,,,-10.488617,-9.379166,-9.953796,-10.59671,-11.559647,-11.712967,-12.30983
LXKS,B589,HMH9M540FG,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:18,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD1,,,-10.66748,-9.73735,-10.500381,-11.287903,-12.291351,-12.441605,-13.046677
LXKS,B589,HXKH2J4YCC,B589-PROTO,B589-PROTO_MA5-DEBUG,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:27,2025/7/3 9:30,20ADkP180.C99DM133,,MA5-DEBUG,,,-11.673325,-10.965759,-10.916885,-11.090332,-11.640335,-11.612701,-11.983505
LXKS,B589,HXKVKQNCP7,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:32,2025/7/3 9:34,20ADkP180.C99DM133,,MA5-REL,,,-10.73735,-10.613922,-10.446762,-10.835419,-11.463501,-11.21228,-11.556808
LXKS,B589,J12HQH7XMF,B589-PROTO,B589-PROTO_MA5-REL-G,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:47,2025/7/3 10:49,20ADkP180.C99DM133,,MA5-REL-G,,,-10.869003,-9.693176,-9.918121,-10.06749,-10.525238,-10.398819,-10.783203
LXKS,B589,J1C2VMG743,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:20,20ADkP180.C99DM133,,ACOUSTICD1,,,-10.661438,-10.201752,-10.802948,-11.578354,-12.668762,-12.69252,-12.935226
LXKS,B589,J3LQ20L02L,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_2_A-OTA,PASS,2025/7/3 10:25,2025/7/3 10:28,20ADkP180.C99DM133,,ACOUSTICD3,,,-11.152649,-10.072006,-10.876755,-11.359451,-11.82338,-11.993637,-11.750717
LXKS,B589,J421463YN2,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:24,2025/7/3 10:26,20ADkP180.C99DM133,,ACOUSTICD3,,,-10.815765,-10.163559,-10.32373,-10.643951,-11.296707,-11.235489,-11.269928
LXKS,B589,JGP42RJVNC,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:03,2025/7/3 10:08,20ADkP180.C99DM133,,ACOUSTICD2,,,-11.009796,-9.593124,-9.964478,-10.522171,-11.516586,-11.829865,-12.558853
LXKS,B589,JQ6G3X7MX4,B589-PROTO,B589-PROTO_MA4-DEBUG,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:29,2025/7/3 9:31,20ADkP180.C99DM133,,MA4-DEBUG,,,-9.098816,-9.462906,-9.339172,-10.37706,-11.686478,-11.392792,-12.289139
LXKS,B589,JTQH3Q2M5G,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_6_A-OTA,PASS,2025/7/3 10:33,2025/7/3 10:37,20ADkP180.C99DM133,,ACOUSTICD2,,,-11.375946,-10.240601,-10.811615,-11.289261,-11.905563,-11.72551,-12.112396
LXKS,B589,JYN3J6W6QH,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 10:27,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD3,,,-10.666061,-10.299713,-10.996841,-11.749268,-12.663147,-12.557068,-12.560318
LXKS,B589,KV9F42WLG2,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:17,20ADkP180.C99DM133,,ACOUSTICD2,,,-10.7034,-10.217361,-10.565781,-10.853256,-11.565826,-11.781906,-12.039124
LXKS,B589,KVK1WQ7H6G,B589-PROTO,B589-PROTO_MA5-DEBUG,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:38,2025/7/3 9:40,20ADkP180.C99DM133,,MA5-DEBUG,,,-10.475616,-10.592651,-10.311981,-10.860474,-11.770706,-11.470123,-12.305618
LXKS,B589,KY00QGT969,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:24,2025/7/3 9:27,20ADkP180.C99DM133,,MA5-REL,,,-11.838043,-11.09053,-11.009949,-11.007706,-11.412781,-11.373383,-11.615479
LXKS,B589,L23TFD7HP1,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 10:28,2025/7/3 10:30,20ADkP180.C99DM133,,ACOUSTICD3,,,-10.617386,-9.741165,-10.823593,-11.470505,-11.783508,-12.306107,-12.009201
LXKS,B589,L2YWHQ7605,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:33,2025/7/3 10:37,20ADkP180.C99DM133,,ACOUSTICD2,,,-10.939148,-10.268494,-10.936142,-11.271576,-11.976105,-12.005539,-12.18512
LXKS,B589,LGDYHMXYQN,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_10_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-10.352234,-9.936859,-10.553955,-11.113983,-12.136108,-12.307602,-12.551926
LXKS,B589,LHV6J64PPX,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:20,2025/7/3 10:23,20ADkP180.C99DM133,,ACOUSTICD1,,,-10.049744,-9.575073,-10.2276,-10.959396,-11.771011,-12.064896,-12.535965
LXKS,B589,LNWWDN6Q71,B589-PROTO,B589-PROTO_MA5-REL,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:36,2025/7/3 9:40,20ADkP180.C99DM133,,MA5-REL,,,-11.8228,-11.248856,-11.474442,-11.893036,-12.410721,-12.096298,-12.206161
LXKS,B589,LT00FK2F2R,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_9_A-OTA,PASS,2025/7/3 10:14,2025/7/3 10:17,20ADkP180.C99DM133,,ACOUSTICD2,,,-10.076813,-9.239426,-9.814865,-10.169434,-11.008972,-11.328918,-11.648346
LXKS,B589,LXG666NJHW,B589-PROTO,B589-PROTO_ACOUSTICD1,,LXKS_A03-2FT-11_3_A-OTA,PASS,2025/7/3 10:17,2025/7/3 10:19,20ADkP180.C99DM133,,ACOUSTICD1,,,-9.713638,-9.584381,-10.110565,-10.617661,-11.449448,-11.886169,-12.365555
LXKS,B589,M4Q4K9N0QF,B589-PROTO,B589-PROTO_ACOUSTICD2,,LXKS_A03-2FT-11_5_A-OTA,PASS,2025/7/3 10:04,2025/7/3 10:09,20ADkP180.C99DM133,,ACOUSTICD2,,,-10.232025,-10.005066,-10.707825,-11.30899,-12.026047,-12.099579,-12.207153
LXKS,B589,MGMVY95Y7G,B589-PROTO,B589-PROTO_ACOUSTICD3,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 10:28,2025/7/3 10:31,20ADkP180.C99DM133,,ACOUSTICD3,,,-10.025269,-9.557465,-9.875885,-10.723236,-11.503204,-11.765549,-12.036224
LXKS,B589,N65C65W33X,B589-PROTO,B589-PROTO_MA6-RF,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:25,2025/7/3 9:27,20ADkP180.C99DM133,,MA6-RF,,,-9.78862,-9.322128,-10.670868,-11.518982,-11.835159,-12.096817,-11.694046
LXKS,B589,NCMXR7KK2T,B589-PROTO,B589-PROTO_MA4-DEBUG,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:30,2025/7/3 9:33,20ADkP180.C99DM133,,MA4-DEBUG,,,-10.611359,-10.312225,-11.078705,-11.913727,-12.929367,-12.907349,-13.00499
LXKS,B589,NHGCF76H9C,B589-PROTO,B589-PROTO_MA4-RF,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:20,2025/7/3 9:23,20ADkP180.C99DM133,,MA4-RF,,,-10.397858,-10.028671,-10.584518,-11.299026,-12.156143,-12.045563,-12.090515
LXKS,B589,PK9JKW7GWH,B589-PROTO,B589-PROTO_MA4-RF,,LXKS_A03-2FT-11_14_A-OTA,PASS,2025/7/3 9:21,2025/7/3 9:23,20ADkP180.C99DM133,,MA4-RF,,,-10.279419,-10.260757,-10.364243,-11.051544,-11.974823,-11.748764,-12.152313
LXKS,B589,Q4TD4RDFDY,B589-PROTO,B589-PROTO_MA6-RF,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:31,2025/7/3 9:34,20ADkP180.C99DM133,,MA6-RF,,,-11.556656,-10.772339,-11.950974,-12.411026,-12.544891,-12.653793,-12.061859
LXKS,B589,W94PJX646X,B589-PROTO,B589-PROTO_MA6-DEBUG,,LXKS_A03-2FT-11_13_A-OTA,PASS,2025/7/3 9:22,2025/7/3 9:24,20ADkP180.C99DM133,,MA6-DEBUG,,,-10.277267,-9.479141,-10.532318,-11.118866,-11.522705,-11.83873,-11.540543
LXKS,B589,WJR77W6JCD,B589-PROTO,B589-PROTO_MA5-RF,,LXKS_A03-2FT-11_11_A-OTA,PASS,2025/7/3 9:33,2025/7/3 9:36,20ADkP180.C99DM133,,MA5-RF,,,-11.564224,-10.849457,-10.883591,-11.093307,-11.677902,-11.659164,-12.029419
